Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.016127157,-0.973878801,9.608977318,-2.781656265
0.02615299,-0.964307547,9.60419178,-2.810968399
0.036179344,-0.945164919,9.60419178,-2.87318182
0.046205334,-0.935593665,9.570692062,-2.825325251
0.056232365,-0.978664458,9.565906525,-2.767299414
0.066258823,-1.00737834,9.637691498,-2.786442041
0.076284865,-1.012163997,9.666405678,-2.767299414
0.086311271,-1.002592683,9.623334885,-2.882753134
0.09633773,-0.940379322,9.675976753,-2.978466034
0.106364084,-0.973878801,9.709476471,-2.921038151
0.116390021,-0.983450115,9.719047546,-2.839682341
0.12641549,-1.002592683,9.642477036,-2.752942562
0.136442105,-0.935593665,9.532406807,-2.638087034
0.14646799,-0.787238657,9.498908043,-2.623729944
0.156494605,-0.590429008,9.532406807,-2.767299414
0.166521063,-0.556929469,9.541978836,-3.088535786
0.176547365,-0.930808008,9.599406242,-3.313461065
0.186573823,-1.466800332,9.800403595,-3.117249727
0.196599761,-1.768295884,9.786046028,-2.647658348
0.206625282,-1.634297848,9.532406807,-2.480160713
0.216651063,-1.251446247,9.403194427,-2.633301258
0.226676688,-0.825523794,9.42712307,-2.762513638
0.236702625,-0.61914283,9.484550476,-2.810968399
0.24672799,-0.715453982,9.565906525,-2.887538671
0.256753563,-1.016949654,9.656833649,-3.059821844
0.266779865,-1.442872047,9.628120422,-3.19382
0.276806271,-1.710868239,9.628120422,-3.208176851
0.286832521,-1.686939955,9.546764374,-3.031108141
0.296858823,-1.347159147,9.412766457,-2.762513638
0.306885282,-0.921236694,9.417551994,-2.849253654
0.316911948,-0.547358155,9.379266739,-3.050250769
0.326938198,-0.466002196,9.417551994,-2.882753134
0.336965542,-0.61914283,9.580264091,-2.657229662
0.346992313,-1.036092162,9.656833649,-2.62851572
0.357019396,-1.399801254,9.642477036,-3.145963669
0.367046323,-1.380658627,9.60419178,-3.452244759
0.377072521,-1.237089276,9.384052277,-3.753740549
0.387098875,-1.452443361,9.211769104,-4.290330887
0.39712523,-1.984248161,9.39840889,-4.218546391
0.40715174,-2.429313183,9.498908043,-3.552743435
0.41717825,-2.620738983,9.494122505,-3.165106058
0.427205021,-2.563311338,9.5754776,-3.236890793
0.437231323,-2.33838582,9.561120987,-3.145963669
0.447257469,-1.898106575,9.532406807,-3.040679455
0.457283459,-1.337587833,9.551549911,-3.150749207
0.467309448,-0.978664458,9.5754776,-3.696312666
0.477335125,-1.122233868,9.561120987,-4.189832687
0.48736049,-1.538584948,9.407979965,-4.390829563
0.497385698,-1.749153376,9.360123634,-4.400400639
0.50741075,-1.639083505,9.436694145,-4.199403763
0.517436323,-1.385444283,9.513264656,-4.17069006
0.52746174,-0.973878801,9.45583725,-4.14197588
0.53748674,-0.552143812,9.460622787,-3.677170277
0.54751174,-0.413360119,9.494122505,-3.868596077
0.557537573,-0.782453001,9.431908607,-4.323830605
0.567563927,-1.543370605,9.42712307,-4.084548473
0.577589865,-2.285743713,9.541978836,-3.91166687
0.587616792,-2.649452925,9.42712307,-4.055834293
0.59764299,-2.424527645,9.32662487,-3.792025566
0.607668459,-1.855035782,9.355338097,-3.504886866
0.617694136,-1.481157184,9.407979965,-3.500101328
0.627719605,-1.524227977,9.45583725,-3.337389469
0.63774523,-1.787438512,9.45583725,-3.241676569
0.647770334,-1.998605132,9.441479683,-3.203391314
0.657795646,-2.123031855,9.350552559,-3.217748165
0.667820959,-2.156531334,9.283554077,-3.131606579
0.677845959,-2.022533417,9.369695663,-3.4809587
0.68787174,-1.960319996,9.388837814,-3.662813187
0.697897105,-1.989033818,9.355338097,-3.509672642
0.707922313,-2.017747641,9.393623352,-3.476173162
0.71794898,-2.070389748,9.407979965,-3.619742393
0.727973823,-2.027318954,9.412766457,-3.70588398
0.737999188,-1.840678811,9.417551994,-3.89730978
0.748024396,-1.773081541,9.302696228,-3.892524242
0.758049657,-1.864607096,9.336195946,-3.763311863
0.768075125,-2.05124712,9.374481201,-3.763311863
0.778100177,-2.261815548,9.360123634,-3.614956856
0.788125646,-2.472383976,9.45583725,-3.715455294
0.798151271,-2.711666346,9.594620705,-3.452244759
0.80817773,-2.793022156,9.561120987,-3.069393158
0.818203355,-2.706880569,9.599406242,-3.2895329
0.828228927,-2.400599241,9.451051712,-3.179463148
0.838254605,-1.941177368,9.417551994,-3.366103172
0.848279605,-1.734796405,9.518050194,-3.91166687
0.858304969,-1.888535261,9.494122505,-4.098905087
0.868330438,-2.367099762,9.556335449,-4.046263218
0.878355073,-2.922234535,9.5754776,-3.820739508
0.888380334,-3.01376009,9.570692062,-3.538386583
0.898405646,-2.946761131,8.703892708,-4.405186653
0.908430802,-2.501097918,10.50449181,-5.224130154
0.918456011,-2.05124712,11.03569794,-3.011965513
0.928481636,-1.605584025,9.886545181,-4.022335052
0.938507313,-1.543370605,10.82034397,-3.902095556
0.948532782,-2.213959217,11.31805134,-3.308675528
0.958558198,-3.190829039,10.79641533,-3.701098442
0.968583823,-3.482753277,11.38564873,-3.452244759
0.978609084,-2.927020311,11.93121147,-3.390031576
0.988634813,-1.768295884,12.29492092,-4.764110088
0.998659865,-0.849452019,12.66401386,-4.945964336
1.008685959,-0.633499801,12.0412817,-3.586242914
1.018711948,-0.921236694,11.14098263,-2.978466034
1.028737573,-1.083948612,11.3760767,-3.069393158
1.038762782,-1.112662554,11.91206932,-3.323032379
1.048788146,-0.892522871,11.87378407,-3.035893679
1.058813875,-0.312861562,11.66800117,-2.504088879
1.068839657,0.52043891,11.68235874,-2.571087837
1.078865542,1.195214868,11.47657585,-2.638087034
1.088891948,1.467996716,11.13619614,-2.279163599
1.098918302,1.238285661,10.87777138,-2.159522533
1.108943563,0.769292474,10.85862923,-2.604587555
1.118968563,0.223130718,11.04048347,-2.810968399
1.128993615,0.069990061,10.82512951,-2.42273283
1.139019552,0.294915378,10.35613632,-2.724228621
1.149045073,0.750149906,10.01575756,-3.796811342
1.159070334,1.037288666,9.76211834,-4.33340168
1.169096063,0.908076167,9.307481766,-4.419543266
1.179121688,0.41934216,8.77089119,-4.352544308
1.189148042,-0.312861562,8.349754333,-3.112463951
1.199173355,-1.505085468,8.225327492,-1.747956991
1.209199136,-3.142972469,8.349754333,-1.158724308
1.219225386,-5.254638672,8.388039589,-0.713659346
1.229251636,-7.945367813,8.258827209,-1.642074585
1.239277677,-10.75573826,8.206185341,-2.839682341
1.24930398,-12.4558382,7.956733704,-2.62851572
1.259330334,-12.11127186,7.540382385,-3.906881094
1.269356115,-9.271589279,7.463811874,-4.625326157
1.279381896,-4.947759151,7.310671329,-2.796013355
1.289407365,-1.241874933,6.443871498,-0.737587571
1.299433355,0.261415869,5.44785881,0.062213387
1.3094595,-0.064008005,4.830510616,0.239282265
1.319485646,-1.222732425,4.639084816,-0.425922424
1.329511636,-2.209173441,5.050650597,-1.714457393
1.339537365,-2.67338109,5.672784328,-2.623729944
1.349562209,-2.826521635,6.022734642,-2.815753937
1.359586792,-3.31525588,6.21894598,-2.705085993
1.369611844,-4.37348175,6.53958416,-2.590230465
1.379636948,-5.857629776,7.157530785,-2.42273283
1.389661896,-7.403991699,7.880163193,-2.551945448
1.399687,-8.419146538,8.210970879,-2.618944407
1.409712209,-8.428717613,7.923233986,-2.145165443
1.419737417,-7.42313385,7.348956585,-1.757528186
1.429763771,-6.202196121,7.061817646,-1.7670995
1.439790021,-5.350351334,7.243672371,-1.905883193
1.449816584,-4.69411993,7.664809227,-1.91066885
1.459842782,-3.927818298,8.038687706,-1.627717614
1.469868355,-3.042474031,8.311469078,-1.326221943
1.479893355,-2.520240545,8.718249321,-1.268794179
1.489918146,-2.907877684,9.474979401,-1.493719578
1.499942261,-3.980460405,10.22692394,-2.001596212
1.509966896,-5.033900738,10.60020447,-2.226521492
1.519992052,-5.618347645,10.68634605,-2.039881229
1.530017052,-5.6566329,10.48056316,-2.279163599
1.54004174,-5.192425251,10.08754253,-2.394019127
1.550066792,-4.718048096,9.91047287,-1.968096614
1.560092209,-4.856831551,10.26042366,-1.838884234
1.570117469,-5.623133183,11.17448139,-2.126022816
1.580143355,-6.216553211,11.5579319,-2.269592285
1.590168563,-6.063412666,11.05484104,-2.24566412
1.600194292,-5.14397049,10.29392338,-2.202593327
1.610219969,-3.597608805,9.637691498,-1.297508121
1.620246011,-2.529811859,9.599406242,-0.608375132
1.630271636,-2.213959217,9.76211834,-1.244866014
1.640297469,-2.716451883,9.982257843,-1.680359721
1.650322938,-3.296113253,9.987043381,-2.446661234
1.660348667,-3.119044304,10.24128056,-3.083750248
1.670375334,-2.347957134,10.40399265,-3.184248686
1.680401219,-1.92203474,10.06839943,-3.270390272
1.69042799,-2.309672117,9.752547264,-3.035893679
1.700454396,-2.510669231,9.675976753,-2.609373093
1.710480334,-1.600798368,10.71506023,-2.528017044
1.720506792,0.136989102,14.27737427,-3.887738705
1.73053325,0.635294437,16.55175209,-3.739383698
1.740559709,-2.357528448,13.85145187,-4.003192425
1.750585698,-0.355932355,12.4241333,-2.781656265
1.760611636,6.505486488,11.36650562,5.157131195
1.770637938,6.61555624,9.048459053,2.834896564
1.780664448,-1.136590719,8.206185341,-6.080760479
1.790690334,-10.48295593,9.235696793,-5.764907837
1.800716688,-16.08036613,10.16889763,-0.96251291
1.810742469,-14.60100365,10.19282627,-0.33499518
1.82076799,-7.10249567,10.36092186,0.411565483
1.830793927,1.324427366,10.6480608,0.354137748
1.8408195,5.614758492,10.03011417,-2.011167526
1.850845386,4.465605259,9.307481766,-4.634897232
1.860871063,0.745364249,9.278767586,-5.477769375
1.870896532,-1.313659668,9.594620705,-3.126821041
1.880921896,-0.681356251,9.340981483,-2.303091764
1.890948355,0.218345061,8.746963501,-5.496912003
1.900974136,-0.226719946,8.617751122,-7.919644833
1.910999292,-1.347159147,8.833105087,-6.703492641
1.921024709,-1.576870084,8.97667408,-4.744967461
1.93105075,-0.466002196,9.192625999,-4.572684288
1.941076792,0.912861824,9.508479118,-4.931607246
1.951102261,1.57866478,9.551549911,-4.180261135
1.961127521,1.056431174,9.498908043,-3.691527128
1.971152469,-0.322432846,9.532406807,-4.060619831
1.981177417,-1.672582984,9.652048111,-4.338187218
1.991202677,-2.218744755,9.527621269,-4.419543266
2.001227521,-1.777867198,9.407979965,-4.55354166
2.011252521,-0.701097012,9.460622787,-4.68275404
2.021278407,0.385842651,9.503693581,-4.577469826
2.031303875,0.812363267,9.474979401,-4.491328239
2.04132898,0.668793917,9.513264656,-4.127619267
2.051354605,0.194416836,9.589835167,-4.098905087
2.061380177,-0.537786901,9.680762291,-3.969692707
2.071406011,-1.00737834,9.513264656,-3.4809587
2.081431584,-1.040877819,9.250054359,-3.3852458
2.091457365,-0.835095108,9.216554642,-3.974478483
2.101482209,-0.628714144,9.288339615,-4.228117466
2.111507469,-0.547358155,9.278767586,-3.80159688
2.12153325,-0.806381226,9.302696228,-3.5766716
2.131559188,-1.404586911,9.417551994,-3.811168194
2.141584761,-2.041675806,9.527621269,-3.748954773
2.151610438,-2.486740828,9.470193863,-3.447459221
2.161635698,-2.568096876,9.460622787,-3.710669756
2.171660802,-2.381456852,9.470193863,-3.806382656
2.181686011,-2.300100803,9.537193298,-3.562314749
2.19171148,-2.635095835,8.488538742,-3.979264021
2.201736323,-3.573680639,9.202198029,-7.048058987
2.21176148,-3.980460405,11.90728378,-3.002394199
2.221786532,-2.429313183,9.953543663,-2.24566412
2.231811115,-0.265005112,9.709476471,-3.337389469
2.241836636,1.042074203,10.71506023,-4.252045631
2.251862625,0.932004392,10.56191921,-4.558327198
2.261887886,0.515653253,10.35613632,-3.2895329
2.271913407,0.136989102,9.953543663,-3.361317635
2.281939448,-0.183649138,9.853045464,-4.644468784
2.29196549,-0.418145746,10.2652092,-4.371686935
2.301992157,-0.849452019,10.44227791,-4.275974274
2.312018563,-1.251446247,10.46142101,-4.926821709
2.322044813,-1.318445325,10.38963604,-4.835894585
2.332070907,-1.141376376,10.27956581,-4.601397991
2.342096896,-0.978664458,10.43749237,-4.36211586
2.35212273,-0.657428026,10.63370419,-3.619742393
2.362148667,-0.217148662,10.50449181,-3.179463148
2.372174552,0.160917327,10.61456108,-3.074178934
2.382200959,0.194416836,10.84427261,-2.997608662
2.392227052,-0.250648171,11.34257793,-3.203391314
2.402253407,-0.725025237,13.39143181,-4.55354166
2.412279865,-0.600000262,15.27817249,-6.483353138
2.422306688,0.146560386,15.09153271,-4.137190342
2.432332782,1.357926846,13.83709526,-3.945764542
2.442358875,2.550150633,12.87936783,-3.581457376
2.452384865,3.067598581,12.50130177,-2.988037348
2.462410073,2.761317253,12.58265781,-3.72024107
2.472435125,1.67437768,12.35713387,-3.715455294
2.482460386,0.898504913,11.45743275,-4.400400639
2.492485855,1.195214868,10.42313576,-5.611767292
2.502511584,2.038086653,9.407979965,-6.325426579
2.512537625,2.578864574,8.488538742,-5.482554913
2.522564136,1.951945066,8.029116631,-3.021536827
2.532589813,-0.217148662,8.220541954,-0.172283232
2.542614813,-4.05224514,8.402397156,0.267996132
2.552640698,-8.759525299,8.244470596,-2.997608662
2.562665802,-13.1455698,8.469395638,-5.578267574
2.572691219,-15.26620865,9.159127235,-7.215556622
2.582716427,-13.23649693,8.914461136,-5.066203594
2.592741427,-8.002795219,7.636095047,-2.547159672
2.602767157,-2.601596355,6.329015732,-2.350948334
2.612792105,0.280558467,5.691926956,-1.431506157
2.622817157,-0.159720913,5.807380676,-0.023928227
2.632842521,-1.907677889,6.032305717,0.224925324
2.642867469,-3.454039574,6.161518097,-0.311066955
2.652893198,-4.497908592,6.20458889,-0.91465646
2.662918407,-4.746761799,6.190232277,-1.656431437
2.672943823,-3.918246984,5.860022545,-2.14995122
