Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.010585367,-1.576870084,9.355338097,-2.293520451,9.76058944
0.013092034,-1.557727575,9.451051712,-2.307877541,9.852674378
0.015598909,-1.509871125,9.460622787,-2.303091764,9.853290111
0.018105472,-1.43808639,9.446265221,-2.288734913,9.82539193
0.020612086,-1.385444283,9.465408325,-2.274377823,9.832914375
0.023118544,-1.356730461,9.503693581,-2.322234392,9.876926738
0.025624899,-1.313659668,9.484550476,-2.293520451,9.845945131
0.028131722,-1.284945726,9.522835732,-2.331805706,9.888013134
0.030638492,-1.29451704,9.556335449,-2.360519648,9.928311769
0.033145263,-1.280160069,9.580264091,-2.398804665,9.958641157
0.035651669,-1.289731383,9.599406242,-2.394019127,9.977140614
0.038158076,-1.280160069,9.637691498,-2.413161755,10.0173478
0.040664638,-1.313659668,9.656833649,-2.408375978,10.0389448
0.043171149,-1.356730461,9.666405678,-2.43708992,10.0607914
0.045677815,-1.428515077,9.671191216,-2.370090723,10.0593203
0.048184638,-1.495514154,9.699904442,-2.34137702,10.08993336
0.050691201,-1.629512191,9.695118904,-2.312663078,10.09945796
0.053197815,-1.725225091,9.714262009,-2.293520451,10.12933976
0.055704378,-1.821536183,9.709476471,-2.279163599,10.13836841
0.058211044,-1.878963947,9.714262009,-2.159522533,10.12723701
0.060717919,-1.993819475,9.719047546,-2.164308071,10.15477379
0.063224586,-2.027318954,9.680762291,-2.082952023,10.10771338
0.065731201,-2.113460541,9.675976753,-2.049452543,10.11392591
0.068237815,-2.127817631,9.685547829,-1.996810555,10.11556706
0.070744638,-2.166102648,9.628120422,-1.977667928,10.06498256
0.073251201,-2.16131711,9.642477036,-1.925025821,10.06749122
0.075757919,-2.108675003,9.594620705,-1.963310957,10.01787635
0.078264586,-2.070389748,9.518050194,-1.963310957,9.936517655
0.080771409,-2.022533417,9.508479118,-2.054238319,9.935880013
0.083278024,-1.974676847,9.465408325,-2.049452543,9.884005218
0.085784378,-1.893320918,9.474979401,-2.059023857,9.879244808
0.088291097,-1.811366796,9.465408325,-2.068595171,9.856677453
0.090797972,-1.749153376,9.474979401,-2.092523336,9.859686916
0.093304794,-1.677368641,9.484550476,-2.10209465,9.858451461
0.095811617,-1.586441398,9.503693581,-2.126022816,9.866963109
0.098318544,-1.524227977,9.546764374,-2.106880426,9.894590748
0.100825315,-1.538584948,9.585049629,-2.221735716,9.958741368
0.10333219,-1.490728498,9.585049629,-2.260020971,9.960077441
0.105839065,-1.47158587,9.647262573,-2.346162558,10.0369178
0.108345836,-1.47158587,9.666405678,-2.389233351,10.06545576
0.110852607,-1.462014675,9.70468998,-2.480160713,10.12273143
0.113359274,-1.495514154,9.738189697,-2.537588358,10.17390072
0.115866044,-1.509871125,9.78126049,-2.547159672,10.21962768
0.118372815,-1.533799291,9.776474953,-2.537588358,10.2162301
0.12087969,-1.543370605,9.805189133,-2.556730986,10.24990732
0.123386565,-1.605584025,9.757332802,-2.513660192,10.20303538
0.125893597,-1.605584025,9.747760773,-2.499303341,10.19035119
0.128400472,-1.663011789,9.685547829,-2.465803623,10.13191159
0.130907347,-1.706082582,9.675976753,-2.461018085,10.12876369
0.133414169,-1.782652855,9.608977318,-2.398804665,10.06302937
0.135921097,-1.835893154,9.580264091,-2.408375978,10.04749912
0.138428024,-1.907677889,9.551549911,-2.374876499,10.02553635
0.140935055,-1.945963025,9.503693581,-2.336591244,9.978307592
0.143442086,-1.993819475,9.470193863,-2.322234392,9.952520308
0.145949065,-2.046461582,9.451051712,-2.317448616,9.943890162
0.148455888,-2.060818434,9.407979965,-2.260020971,9.892661646
0.150963024,-2.14696002,9.417551994,-2.250449657,9.917875103
0.153470003,-2.185245275,9.403194427,-2.283949137,9.920271469
0.155976982,-2.213959217,9.393623352,-2.23130703,9.905579547
0.158483909,-2.266601324,9.42712307,-2.207378864,9.943875119
0.160991044,-2.276172638,9.441479683,-2.250449657,9.969304095
0.163497972,-2.300100803,9.451051712,-2.24566412,9.982777645
0.166004638,-2.29052949,9.498908043,-2.221735716,10.02057328
0.168511357,-2.333600283,9.489336014,-2.164308071,10.00886695
0.171018128,-2.357528448,9.551549911,-2.193022013,10.07965236
0.173524847,-2.357528448,9.580264091,-2.154736757,10.09862817
0.176031617,-2.362314224,9.618548393,-2.140379906,10.13302659
0.178538128,-2.343171597,9.675976753,-2.078166485,10.1702387
0.181044951,-2.371885538,9.656833649,-2.054238319,10.1538255
0.183551774,-2.343171597,9.685547829,-2.063809633,10.17642374
0.186058597,-2.304886341,9.70468998,-2.025524378,10.17822468
0.188565419,-2.29052949,9.709476471,-1.953739643,10.16550822
0.191072138,-2.276172638,9.70468998,-1.929811478,10.15313458
0.193578961,-2.285743713,9.714262009,-1.968096614,10.17177049
0.19608568,-2.209173441,9.685547829,-2.015953064,10.13678207
0.198592347,-2.237887383,9.699904442,-2.025524378,10.15869259
0.201099065,-2.190030813,9.699904442,-2.13559413,10.17079856
0.203605784,-2.151745796,9.671191216,-2.073380709,10.12229505
0.206112242,-2.142174482,9.671191216,-2.250449657,10.15802022
0.208618909,-2.089532375,9.647262573,-2.097309113,10.09130944
0.211125732,-2.056032896,9.637691498,-2.23130703,10.10401404
0.213632347,-2.012962103,9.671191216,-2.169093609,10.11379865
0.216139117,-1.960319996,9.666405678,-2.240878344,10.11453355
0.218645732,-1.950748682,9.671191216,-2.14995122,10.09750713
0.221152555,-1.902892232,9.695118904,-2.207378864,10.12367773
0.223659378,-1.878963947,9.690333366,-2.183450699,10.10942744
0.226166253,-1.878963947,9.699904442,-2.226521492,10.12798349
0.228673024,-1.92203474,9.728618622,-2.14995122,10.14704529
0.231179742,-1.92203474,9.738189697,-2.193022013,10.16542678
0.233686357,-1.955534339,9.747760773,-2.173879385,10.17687114
0.236192867,-1.998605132,9.709476471,-2.188236237,10.15168625
