Time (s);Gyroscope x (rad/s);Gyroscope y (rad/s);Gyroscope z (rad/s)
0,076187261;-0,001114657;-0,003433398;-0,003485564
0,086187261;-0,000612156;-0,003685713;0,002716909
0,096187261;0,000610027;-0,001282866;-0,002177147
0,106187261;-0,001566055;-0,000673904;0,002187793
0,116187261;-0,159555584;1,624398589;-0,466670632
0,126187261;-0,188771933;2,073546648;-0,590937257
0,136187261;-0,185637698;2,197719574;-0,620645463
0,146187261;-0,174467713;2,109123945;-0,591426969
0,156187261;-0,173048571;1,931674361;-0,539518297
0,166187261;-0,181806132;1,729159236;-0,475944519
0,176187261;-0,188552633;1,53984642;-0,397451192
0,186187261;-0,172266081;1,39099884;-0,306258023
0,196187261;-0,119495019;1,282326698;-0,226571247
0,206187261;-0,043871906;1,1744169;-0,199575692
0,216187261;0,011018812;1,02250421;-0,246952325
0,226187261;0,008578704;0,828335702;-0,342943758
0,236187261;-0,039434571;0,648065805;-0,427097648
0,246187261;-0,089137398;0,543194413;-0,441479594
0,256187261;-0,106832437;0,528107703;-0,3709113
0,266187261;-0,093335189;0,564549625;-0,249231681
0,276187261;-0,062035378;0,596606374;-0,137755379
0,286187261;-0,01604701;0,584495246;-0,092219472
0,296187261;0,041724566;0,518053412;-0,130391404
0,306187261;0,095295154;0,414822608;-0,2256248
0,316187261;0,118839212;0,314169198;-0,318419158
0,326187261;0,10176485;0,26037398;-0,347635537
0,336187261;0,060734414;0,274052233;-0,286001503
0,346187261;0,022328265;0,337310851;-0,155534521
0,356187261;-0,007050975;0,406201303;-0,013701653
0,366187261;-0,041111346;0,43719238;0,07885211
0,376187261;-0,071402967;0,412817925;0,085007735
0,386187261;-0,057469223;0,35218358;0,012199474
0,396187261;0,031631973;0,292306185;-0,094416842
0,406187261;0,18795751;0,259590417;-0,187293187
0,416187261;0,370732456;0,243837252;-0,259415835
0,426187261;0,514532745;0,202791914;-0,345337003
0,436187261;0,549953699;0,108565636;-0,465385646
0,446187261;0,460834384;-0,020156441;-0,595128655
0,456187261;0,307117164;-0,130721435;-0,685239136
0,466187261;0,167287916;-0,17546846;-0,69766748
0,476187261;0,072863623;-0,137223065;-0,618783474
0,486187261;0,029212095;-0,027256388;-0,460603356
0,496187261;0,056481257;0,11972072;-0,267894447
0,506187261;0,166285053;0,253543377;-0,110370167
0,516187261;0,32584703;0,334167033;-0,04164046
0,526187261;0,464566946;0,35291177;-0,056073509
0,536187261;0,530553102;0,3321549;-0,097610705
0,546187261;0,524898946;0,311128646;-0,102263086
0,556187261;0,472597361;0,324062705;-0,03899914
0,566187261;0,394719392;0,378095359;0,076699443
0,576187261;0,314575881;0,444878936;0,193574443
0,586187261;0,260609269;0,472543061;0,243656263
0,596187261;0,245174408;0,415451795;0,175092638
0,606187261;0,247080088;0,272643715;-0,005376328
0,616187261;0,234517574;0,094519049;-0,227500662
0,626187261;0,191657051;-0,046536647;-0,39472577
0,636187261;0,119410917;-0,101644546;-0,441728711
0,646187261;0,030544998;-0,077374414;-0,377420396
0,656187261;-0,059326984;-0,022908483;-0,269321054
0,666187261;-0,136720568;0,009164245;-0,195083007
0,676187261;-0,19343923;-9,68804E-05;-0,188932702
0,686187261;-0,225218117;-0,031366885;-0,230739236
0,696187261;-0,227727428;-0,052834935;-0,279586107
0,706187261;-0,200454012;-0,047138158;-0,305632025
0,716187261;-0,152867645;-0,021655425;-0,302384943
0,726187261;-0,103099883;0,001979128;-0,280423969
0,736187261;-0,064340279;0,010288483;-0,254840106
0,746187261;-0,03251135;0,0092047;-0,234065115
0,756187261;0,004795046;0,01676137;-0,215372518
0,766187261;0,051328499;0,045823351;-0,191901922
0,776187261;0,095009834;0,090288252;-0,164580584
0,786187261;0,118966967;0,126846224;-0,145129994
0,796187261;0,11794813;0,130539387;-0,148933873
0,806187261;0,098433651;0,093759976;-0,182047799
0,816187261;0,064878978;0,025531704;-0,239909872
0,826187261;0,012463501;-0,056224685;-0,308713049
0,836187261;-0,058881976;-0,129229903;-0,36838603
0,846187261;-0,131349564;-0,170902297;-0,398159176
0,856187261;-0,179670513;-0,159833446;-0,376630425
0,866187261;-0,180409357;-0,087072037;-0,299856454
0,876187261;-0,122739978;0,031596843;-0,19497335
0,886187261;-0,025244256;0,148537844;-0,113577865
0,896187261;0,068984151;0,200758487;-0,105788045
0,906187261;0,120313711;0,1606085;-0,177434802
0,916187261;0,14072673;0,06609264;-0,285656571
0,926187261;0,165155485;-0,005069718;-0,360745251
0,936187261;0,182146817;0,000614285;-0,344354361
0,946187261;0,147237942;0,077387191;-0,226210341
0,956187261;0,047641721;0,185217172;-0,045524195
0,966187261;-0,072123714;0,271113873;0,116573706
0,976187261;-0,176231787;0,276822358;0,173349857
0,986187261;-0,268336266;0,180704251;0,096737713
0,996187261;-0,356568754;0,036502607;-0,047223326
1,006187261;-0,408780873;-0,040945265;-0,131556094
1,016187261;-0,376011878;0,040580101;-0,059332307
1,026187261;-0,292015553;0,251709044;0,153103992
1,036187261;-0,257543176;0,466851622;0,393035144
1,046187261;-0,326882899;0,582549155;0,547674358
